,Unnamed: 0,Unnamed: 0.1,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,time_diff,isWillingToWalk,numberOfPassengers
0,0,978823,2,2016-06-10 08:00:16,2016-06-10 09:16:56,1,34166.2882,-73.7783737182617,40.6468086242676,2,N,-73.976936340332,40.7800712585449,1,52.0,0.0,0.5,14.58,5.54,0.3,72.92,76.6666666666667,0,2
1,1,979070,2,2016-06-10 08:00:32,2016-06-10 09:26:02,2,28952.0266,-73.7766876220703,40.6452407836914,2,N,-73.9960021972656,40.7344207763672,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,85.5,0,3
2,2,979323,2,2016-06-10 08:00:49,2016-06-10 09:18:54,1,27197.846,-73.7905731201172,40.6435508728027,2,N,-73.9850616455078,40.758209228515604,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,78.0833333333333,0,1
3,3,979402,2,2016-06-10 08:00:57,2016-06-10 09:17:15,1,29016.4002,-73.7821731567383,40.6447296142578,2,N,-73.977653503418,40.76137161254879,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01,76.3,0,2
4,4,979544,1,2016-06-10 08:01:10,2016-06-10 09:14:33,1,32991.47,-73.77677154541009,40.6454086303711,2,N,-73.9656677246094,40.774299621581996,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,73.3833333333333,1,2
5,5,979546,1,2016-06-10 08:01:10,2016-06-10 09:16:36,1,34439.876000000004,-73.7904815673828,40.6436653137207,2,N,-73.9470138549805,40.8160514831543,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,75.4333333333333,0,3
6,6,979553,2,2016-06-10 08:01:11,2016-06-10 09:14:02,6,34423.7826,-73.7821578979492,40.6447982788086,1,N,-73.9867630004883,40.7025604248047,1,66.0,0.0,0.5,10.0,0.0,0.3,76.8,72.85,0,3
7,7,979687,2,2016-06-10 08:01:20,2016-06-10 09:34:29,1,32750.069,-73.7766799926758,40.6452789306641,2,N,-73.98023986816409,40.767631530761705,1,52.0,0.0,0.5,15.84,0.0,0.3,68.64,93.15,1,1
8,8,979700,1,2016-06-10 08:01:22,2016-06-10 09:29:11,1,27358.78,-73.7900924682617,40.6469955444336,2,N,-73.989860534668,40.7483673095703,1,52.0,0.0,0.5,12.0,5.54,0.3,70.34,87.8166666666667,0,1
9,9,979896,1,2016-06-10 08:01:45,2016-06-10 09:18:05,3,28002.516,-73.7767105102539,40.645450592041,2,N,-74.0153732299805,40.70901489257809,1,52.0,0.0,0.5,8.0,5.54,0.3,66.34,76.3333333333333,0,1
10,10,979960,2,2016-06-10 08:01:49,2016-06-10 09:24:05,1,29531.389,-73.77677154541009,40.6455192565918,2,N,-73.9833755493164,40.7561454772949,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,82.2666666666667,0,2
11,11,980524,2,2016-06-10 08:02:17,2016-06-10 09:18:51,1,27954.2358,-73.7766876220703,40.6452293395996,2,N,-73.9768295288086,40.749298095703104,1,52.0,0.0,0.5,5.0,5.54,0.3,63.34,76.5666666666667,0,2
12,12,980548,2,2016-06-10 08:02:22,2016-06-10 09:27:20,1,28308.2906,-73.78582763671879,40.645481109619105,2,N,-73.9801712036133,40.757820129394496,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01,84.9666666666667,0,2
13,13,980598,2,2016-06-10 08:02:25,2016-06-10 09:40:55,1,30641.8336,-73.7768630981445,40.645168304443395,2,N,-73.9829788208008,40.75521087646489,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,98.5,0,3
14,14,980758,2,2016-06-10 08:02:38,2016-06-10 09:15:34,5,29273.8946,-73.7819290161133,40.6449089050293,2,N,-73.9912185668945,40.742950439453104,1,52.0,0.0,0.5,10.0,5.54,0.3,68.34,72.9333333333333,0,3
15,15,980885,2,2016-06-10 08:02:54,2016-06-10 09:20:58,6,32347.734,-73.7816619873047,40.6448173522949,2,N,-73.9652404785156,40.791938781738295,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01,78.0666666666667,1,2
16,16,980897,2,2016-06-10 08:02:56,2016-06-10 09:20:17,1,26039.1212,-73.791862487793,40.6451377868652,2,N,-73.9765853881836,40.747707366943395,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,77.35,1,3
17,17,980900,1,2016-06-10 08:02:57,2016-06-10 09:24:54,1,27036.912,-73.7903137207031,40.6468620300293,2,N,-73.9886169433594,40.7447357177734,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,81.95,0,2
18,18,981129,2,2016-06-10 08:03:24,2016-06-10 09:03:30,1,25846.0004,-73.791130065918,40.6617393493652,2,N,-73.9902114868164,40.728931427002,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,60.1,0,1
19,19,981313,1,2016-06-10 08:07:11,2016-06-10 10:00:42,2,31703.998,-73.7767791748047,40.64540481567379,2,N,-73.9888687133789,40.777759552002,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,113.516666666667,0,3
20,20,982440,1,2016-06-10 08:04:17,2016-06-10 09:19:42,1,37014.82,-73.7821731567383,40.6445541381836,2,N,-73.97789001464841,40.7294273376465,1,52.0,0.0,0.5,11.65,5.54,0.3,69.99,75.4166666666667,1,2
21,21,982593,1,2016-06-10 08:04:25,2016-06-10 09:33:44,1,29772.79,-73.7767105102539,40.6451835632324,2,N,-73.97923278808601,40.7614974975586,1,52.0,0.0,0.5,11.65,5.54,0.3,69.99,89.3166666666667,0,1
22,22,982738,2,2016-06-10 08:04:35,2016-06-10 09:06:47,1,27213.9394,-73.77671813964851,40.645450592041,2,N,-73.9665298461914,40.754951477050795,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,62.2,0,1
23,23,983271,1,2016-06-10 08:05:22,2016-06-10 09:27:05,1,27680.648,-73.78111267089841,40.64501953125,2,N,-73.9839859008789,40.7360877990723,1,52.0,0.0,0.5,17.5,5.54,0.3,75.84,81.7166666666667,0,3
24,24,983279,2,2016-06-10 08:05:23,2016-06-10 09:14:14,2,26023.0278,-73.77677154541009,40.6454429626465,1,N,-73.99436950683591,40.7003974914551,1,56.0,0.0,0.5,11.36,0.0,0.3,68.16,68.85,1,1
25,25,983326,1,2016-06-10 08:05:25,2016-06-10 09:11:02,2,5310.821999999999,-73.7883605957031,40.6474647521973,1,N,-73.9497756958008,40.801239013671896,3,2.5,0.0,0.5,0.0,5.54,0.3,8.84,65.6166666666667,0,3
