,Unnamed: 0,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,time_diff,isWillingToWalk,numberOfPassengers
36593,8830985,2016-03-10 14:00:05,2016-03-10 15:41:50,2,29772.79,-73.78179931640625,40.644813537597656,-73.9864501953125,40.7596092224121,101.75,0,1
36594,94839,2016-03-10 14:00:20,2016-03-10 14:56:46,1,31011.9818,-73.77684783935547,40.64523315429688,-74.0007553100586,40.72575759887695,56.43333333333333,1,2
36595,8831059,2016-03-10 14:00:36,2016-03-10 14:52:43,1,33474.272000000004,-73.7808609008789,40.64517593383789,-73.96578216552734,40.76933670043945,52.11666666666667,0,2
36596,8831068,2016-03-10 14:00:39,2016-03-10 15:06:01,1,28968.12,-73.78273010253906,40.64451217651367,-73.98592376708984,40.7607650756836,65.36666666666666,0,1
36597,94914,2016-03-10 14:00:49,2016-03-10 15:18:43,1,29547.4824,-73.78176879882812,40.64480972290039,-73.98281860351562,40.7641487121582,77.9,0,2
36598,8831112,2016-03-10 14:01:05,2016-03-10 14:46:53,1,31543.064,-73.77862548828125,40.646728515625,-73.94003295898438,40.82527160644531,45.8,1,2
36599,8831162,2016-03-10 14:01:24,2016-03-10 14:52:26,2,31221.196,-73.78202056884766,40.644737243652344,-74.00794219970702,40.74107360839844,51.03333333333333,0,2
36600,95032,2016-03-10 14:01:33,2016-03-10 15:06:07,1,34230.661799999994,-73.79010772705078,40.64654922485352,-73.98181915283203,40.77785873413085,64.56666666666666,0,2
36601,8831183,2016-03-10 14:01:36,2016-03-10 15:09:41,1,31543.064,-73.78178405761719,40.64485168457031,-74.00548553466798,40.72771072387695,68.08333333333333,0,1
36602,95041,2016-03-10 14:01:36,2016-03-10 15:07:49,1,28935.9332,-73.78977203369139,40.6469612121582,-73.97521209716798,40.76542282104492,66.21666666666667,1,2
36603,8831267,2016-03-10 14:02:03,2016-03-10 15:12:47,2,29129.054,-73.78196716308595,40.64468765258789,-73.98590850830078,40.76148986816406,70.73333333333333,1,2
36604,95220,2016-03-10 14:02:42,2016-03-10 15:00:16,3,28372.6642,-73.78184509277344,40.64473342895508,-73.98565673828125,40.7525634765625,57.56666666666667,1,1
36605,95237,2016-03-10 14:02:48,2016-03-10 14:51:34,1,29434.8286,-73.7820053100586,40.64472198486328,-73.99131774902342,40.724525451660156,48.76666666666666,0,1
36606,95247,2016-03-10 14:02:51,2016-03-10 15:03:49,1,23995.2594,-73.78263854980467,40.64698028564453,-73.98978424072266,40.71406555175781,60.96666666666667,1,1
36607,95280,2016-03-10 14:03:00,2016-03-10 15:17:32,1,31494.7838,-73.7767333984375,40.645286560058594,-73.98275756835938,40.771480560302734,74.53333333333333,0,1
36608,8831504,2016-03-10 14:03:39,2016-03-10 15:08:27,1,30899.328,-73.78204345703125,40.644676208496094,-74.00559234619139,40.72582626342773,64.8,1,1
