,destID,destLat,destLong,timeFromSrc,distFromSrc
0,DEST1,40.881405,-73.928387,1772.673,38656.266
1,DEST2,40.88074783,-73.92664627,1772.673,38656.266
2,DEST3,40.88009067,-73.92490553,1816.199,38994.832
3,DEST4,40.879433500000005,-73.9231648,1816.426,38996.59
4,DEST5,40.87877633,-73.92142407,1841.012,39129.274
5,DEST6,40.87811917,-73.91968333,1790.296,38793.346
6,DEST7,40.877462,-73.9179426,1733.03,38338.485
7,DEST8,40.87680483,-73.91620187,1740.107,38452.511
8,DEST9,40.87614767,-73.91446113,1897.699,37327.113
9,DEST10,40.875490500000005,-73.9127204,1900.864,37351.736000000004
10,DEST11,40.87483333,-73.91097967,1927.944,37547.306000000004
11,DEST12,40.87417617,-73.90923893,1787.594,36164.238
12,DEST13,40.873519,-73.9074982,1809.001,36330.736000000004
13,DEST14,40.87286183,-73.90575747,1787.232,36684.858
14,DEST15,40.87220467,-73.90401673,1842.911,34228.633
15,DEST16,40.8715475,-73.902276,1835.926,34174.297999999995
16,DEST17,40.87089033,-73.90053527,1829.256,33948.513
17,DEST18,40.87023317,-73.89879453,1784.507,33774.365
18,DEST19,40.869576,-73.8970538,1763.321,33556.267
19,DEST20,40.86891883,-73.89531307,1753.581,33470.255
20,DEST21,40.86826167,-73.89357233,1716.836,33306.937999999995
21,DEST22,40.8676045,-73.8918316,1754.448,33521.163
22,DEST23,40.86694733,-73.89009087,1771.657,33550.591
23,DEST24,40.86629017,-73.88835013,1721.616,32987.947
24,DEST25,40.865633,-73.8866094,1671.258,32724.416
25,DEST26,40.86497583,-73.88486867,1681.318,32519.58
26,DEST27,40.86431867,-73.88312793,1743.999,31925.852000000003
27,DEST28,40.8636615,-73.88138719999999,1759.228,32548.356
28,DEST29,40.86300433,-73.87964647,1949.89,32440.418999999998
29,DEST30,40.86234717,-73.87790573,1895.694,32289.876
30,DEST31,40.87986443,-73.92940736,1718.515,37378.671
31,DEST32,40.87920726,-73.92766662,1718.515,37378.671
32,DEST33,40.8785501,-73.92592589,1789.236,39697.664
33,DEST34,40.87789293,-73.92418516,1787.27,39635.4
34,DEST35,40.87723576,-73.92244442,1694.47,37428.405
